lead_min,threshold_mm,standard_csi_mean,standard_csi_sd,radar_only_csi_mean,radar_only_csi_sd,delta_csi_radar_only_minus_standard,ci_low,ci_high,ci_excludes_zero,n_finite_common,bootstrap_valid_reps,bootstrap_reps
60,1.0,0.6247593662096281,0.00741353465927751,0.6243972685671652,0.007316035553754863,-0.0003620976424629774,-0.0009706131194774592,0.0002889042177961432,False,4408654,50000,50000
60,5.0,0.5322964924964135,0.014585138967855316,0.5331087192325707,0.014440361524097115,0.0008122267361572177,-0.00034327636465380227,0.002106168878013745,False,4408654,50000,50000
60,10.0,0.4411746257312866,0.018120909006088905,0.44254153538320834,0.017844883083515697,0.001366909651921766,0.000256728011412935,0.0025153129484833795,True,4408654,50000,50000
60,20.0,0.32089336863674156,0.022849081588904932,0.3238421795053219,0.023624681182857692,0.0029488108685803427,0.0015540416748432914,0.004760178803034542,True,4408654,50000,50000
90,1.0,0.5540404411877473,0.008805282854696995,0.5537273123749535,0.008708574681693022,-0.0003131288127937726,-0.0007865254505461077,0.0002014203872094722,False,4408626,50000,50000
90,5.0,0.44012507904846093,0.009479802140187513,0.44039725364015675,0.010100013054937575,0.00027217459169581737,-0.00036189960816567494,0.000928162514913318,False,4408626,50000,50000
90,10.0,0.32955759416731695,0.011392201144686464,0.33068018248101616,0.012578516685382676,0.0011225883136992132,0.0001425045363302069,0.002190753077410507,True,4408626,50000,50000
90,20.0,0.1788963405115143,0.02764010679710353,0.17926244607045816,0.03095319250095187,0.00036610555894386887,-0.0005946530751226989,0.001382559534785996,False,4408626,50000,50000
120,1.0,0.4989350746461263,0.0056610748775145926,0.4989126812771974,0.005966735243698449,-2.2393368928896873e-05,-0.0003958475856979046,0.00036859993921814775,False,4408597,50000,50000
120,5.0,0.36954840879740525,0.004460205194027233,0.3700542603522603,0.005032730400174742,0.0005058515548550524,-8.439328580820138e-05,0.0011482653696783809,False,4408597,50000,50000
120,10.0,0.24214914625072637,0.013655275319346256,0.24289480005000716,0.014378460872926857,0.0007456537992807932,-0.00015136901174100866,0.0017785078218050213,False,4408597,50000,50000
120,20.0,0.08123277493853759,0.02656232665613909,0.08110468349055622,0.026223576316295478,-0.00012809144798137106,-0.0008225513042424141,0.0006588901349455047,False,4408597,50000,50000
150,1.0,0.45527142695901973,0.0017028127403416486,0.4551614002383147,0.0022236990067326526,-0.0001100267207050365,-0.0004276743365368693,0.0002240995408643379,False,4408572,50000,50000
150,5.0,0.3140845615175318,0.010722996669967677,0.3145802291647793,0.011258409200572842,0.0004956676472475108,-0.00010185442764285427,0.0011616918484283465,False,4408572,50000,50000
150,10.0,0.17493515603027945,0.017773527979600627,0.1755539531140402,0.01936997357019019,0.0006187970837607526,-0.00018186392504504142,0.0015079960959789474,False,4408572,50000,50000
150,20.0,0.03185450952063359,0.011082439182422842,0.03241298144697972,0.010275924530951906,0.0005584719263461296,-0.00017166089602926038,0.0013555267151011637,False,4408572,50000,50000
180,1.0,0.4184516106918495,0.0011684041062262596,0.4185137923963975,0.0017724433141835937,6.218170454802552e-05,-0.00023205835529855056,0.00037159780995516255,False,4408548,50000,50000
180,5.0,0.2678998554066794,0.013819624300332033,0.2684655767653266,0.014950292041381843,0.000565721358647242,-0.00013107380513490696,0.0014186799088299299,False,4408548,50000,50000
180,10.0,0.12668303548657503,0.016439003878754768,0.12822414115249534,0.01824875422050366,0.001541105665920306,0.0009037071723402943,0.002235561824381508,True,4408548,50000,50000
180,20.0,0.01299158240210658,0.006628387635715596,0.013330272386351413,0.006361497313829734,0.00033868998424483286,-3.0354527240701145e-05,0.0007262370550890905,False,4408548,50000,50000
