route,route_label,replicate,aggregation,lead_min,metric,x_index,x_label,bin_low_mm,bin_high_mm,threshold_mm,estimate,ci_low,ci_high,n_common_pairs,n_observed_events
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,1,5–10,5,10,,-3.91804920210895,-3.91804920210895,-3.91804920210895,44623,
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,2,10–20,10,20,,-10.21066123032972,-10.21066123032972,-10.21066123032972,24611,
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,3,≥20,20,,,-27.73798867573326,-27.73798867573326,-27.73798867573326,9263,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,0,1–5,1,5,,1.043312299896037,1.043312299896037,1.043312299896037,156589,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,1,5–10,5,10,,-0.232751061704432,-0.232751061704432,-0.232751061704432,44623,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,2,10–20,10,20,,-4.26973848014942,-4.26973848014942,-4.26973848014942,24611,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,3,≥20,20,,,-17.65029887438567,-17.65029887438567,-17.65029887438567,9263,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,0,1–5,1,5,,0.3189617620209277,0.3189617620209277,0.3189617620209277,156589,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,1,5–10,5,10,,-2.357756126196701,-2.357756126196701,-2.357756126196701,44623,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,2,10–20,10,20,,-7.74822771634959,-7.74822771634959,-7.74822771634959,24611,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,3,≥20,20,,,-23.50361504188056,-23.50361504188056,-23.50361504188056,9263,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,0,1–5,1,5,,0.1634271339084139,0.1634271339084139,0.1634271339084139,156589,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,1,5–10,5,10,,-3.055410344746237,-3.055410344746237,-3.055410344746237,44623,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,2,10–20,10,20,,-8.951098662358023,-8.951098662358023,-8.951098662358023,24611,
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,3,≥20,20,,,-25.68816194538077,-25.68816194538077,-25.68816194538077,9263,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,0,1–5,1,5,,0.5559319094418411,0.5559319094418411,0.5559319094418411,156589,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,1,5–10,5,10,,-0.1370978026281827,-0.1370978026281827,-0.1370978026281827,44623,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,2,10–20,10,20,,-2.47670644425565,-2.47670644425565,-2.47670644425565,24611,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,conditional_mean_error,3,≥20,20,,,-11.77872592639535,-11.77872592639535,-11.77872592639535,9263,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,0,1–5,1,5,,0.5449583205531247,0.5449583205531247,0.5449583205531247,156589,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,1,5–10,5,10,,-1.538275618733006,-1.538275618733006,-1.538275618733006,44623,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,2,10–20,10,20,,-6.11540294652038,-6.11540294652038,-6.11540294652038,24611,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,conditional_mean_error,3,≥20,20,,,-20.81847416862543,-20.81847416862543,-20.81847416862543,9263,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,0,1–5,1,5,,0.4115624436674563,0.4115624436674563,0.4115624436674563,156589,
