metric_group,metric,route_key,route_label,lead_min,threshold_mm,point_estimate,ci_low,ci_high,bootstrap_valid_reps,bootstrap_reps
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,120,10,0.1419672905473224,0.1149570677429437,0.1692997239530086,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,120,20,0.0022570524140676,0.0009062661949428,0.0039614025386981,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,120,20,0.0022670840980243,0.0009092766384128,0.0039828547975048,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,120,20,0.6351868415821905,0.4869409546256065,0.7961131706833839,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,120,20,0.0062254849040987,0.0038125680817756,0.0087931531714275,50000,50000
continuous,rmse,pysteps,pySTEPS + Patch MLP,120,,1.72116440530134,1.478442019224167,1.969719591736794,50000,50000
continuous,mean_bias,pysteps,pySTEPS + Patch MLP,120,,-0.1226810664213273,-0.1568064004182815,-0.0932447992265224,50000,50000
continuous,correlation,pysteps,pySTEPS + Patch MLP,120,,0.524194904292897,0.4907153874635696,0.554725743830204,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,150,1,0.3860084142892896,0.3470138385891914,0.4199928410351276,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,150,1,0.4748900402405928,0.4297984115779399,0.5130999460816383,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,150,1,0.3263652533558454,0.2965957172214984,0.3621001482009888,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,150,1,0.7050767236954419,0.6621443599462509,0.7416412323713303,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,150,5,0.1461886409372838,0.1227479048073291,0.1678024027496576,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,150,5,0.1729153131117537,0.1444841247051954,0.1997988265007734,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,150,5,0.5123343077041679,0.4712602123618126,0.5591757312417031,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,150,5,0.3550454157483725,0.3107060141861438,0.3993209309875965,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,150,10,0.022229081490318,0.0147805245360359,0.0299854259006679,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,150,10,0.0232134773966267,0.0153463105438277,0.0314808813855052,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,150,10,0.6557249427056873,0.5882740765810013,0.7249385565519333,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,150,10,0.0672984196335439,0.0510377832688391,0.0842547575011849,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,150,20,0.0004666446860316,7.887609426688868e-05,0.0009046658859006,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,150,20,0.0004678110043542,7.899830234237015e-05,0.0009081189884454,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,150,20,0.8482372747078629,0.760186392068863,0.9576719403266908,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,150,20,0.0023030695598978,0.0013337126671103,0.0032776169420685,50000,50000
continuous,rmse,pysteps,pySTEPS + Patch MLP,150,,1.806614218655689,1.552801021933556,2.064857518672943,50000,50000
continuous,mean_bias,pysteps,pySTEPS + Patch MLP,150,,-0.1403744421417565,-0.1794948939234018,-0.1064690355211496,50000,50000
continuous,correlation,pysteps,pySTEPS + Patch MLP,150,,0.4442210177096062,0.4095872029662132,0.4765579521656036,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,180,1,0.3390922731184442,0.3004304550588131,0.3727636232972145,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,180,1,0.4204744930224116,0.3748292721807956,0.4592875450849533,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,180,1,0.3632954573329996,0.3304549045860767,0.4030552081763744,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,180,1,0.6604462480397245,0.615431797504425,0.6991850435733795,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,180,5,0.096685108173119,0.0788840882480144,0.1134973982349038,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,180,5,0.1114522423362251,0.0901934148743748,0.1322180923074483,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,180,5,0.5769632554843768,0.5342503637075424,0.6247711300849915,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,180,5,0.263725577622924,0.223496326804161,0.3055441573262215,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,180,10,0.010457989011373,0.0064210987533442,0.0147711287951096,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,180,10,0.0107457046702485,0.006564152019564,0.0152400763938203,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,180,10,0.7135989386598323,0.6478720635175705,0.7835126191377639,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,180,10,0.0377378914014681,0.0272714915685355,0.0486583239398896,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,180,20,0.0001438331610739,0,0.0003073337757086,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,180,20,0.0001439418474936,0,0.0003075599794101,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,180,20,0.8289562289562289,0.5777778029441833,1,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,180,20,0.000899636546835,0.0004815053172933,0.001413539837813,50000,50000
continuous,rmse,pysteps,pySTEPS + Patch MLP,180,,1.857299373261557,1.598117244243622,2.120583832263947,50000,50000
continuous,mean_bias,pysteps,pySTEPS + Patch MLP,180,,-0.1525217517486306,-0.1950979463756084,-0.1153127163648605,50000,50000
continuous,correlation,pysteps,pySTEPS + Patch MLP,180,,0.3869644391722369,0.3523793213069439,0.4196712374687195,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,60,1,0.6355453670919159,0.6053831562399864,0.6615903094410897,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,60,1,0.7252253785139623,0.6945083707571029,0.7506712362170219,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,60,1,0.1627517638894928,0.1472685158252716,0.1801328409463167,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,60,1,0.866309917788951,0.8368302509188652,0.8918825328350067,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,60,5,0.4855362501041696,0.4510070584714413,0.5147381141781807,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,60,5,0.6195693253669993,0.5792049840092659,0.652189090847969,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,60,5,0.3067980005525837,0.2811155080795288,0.3349330574274063,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,60,5,0.8953208402868899,0.8494618192315102,0.9367529869079588,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,60,10,0.3668658108623086,0.3368849791586399,0.3912239946424961,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,60,10,0.4812343783826336,0.4429202176630497,0.5120346546173096,50000,50000
