route,route_label,lead_min,gauge_bin,amount_bias_mm_mean,amount_bias_mm_sd,n_common_pairs
exprecast_patch_cnn,exPreCast + CNN,80,"[1,5)",0.7327531918015424,0.1622729899279407,156589
exprecast_patch_cnn,exPreCast + CNN,80,"[5,10)",-1.138425602615229,0.3129659019024067,44623
exprecast_patch_cnn,exPreCast + CNN,80,"[10,20)",-5.759530333113308,0.3640120944671812,24611
exprecast_patch_cnn,exPreCast + CNN,80,>=20,-20.06584215066377,0.3970591569001634,9263
exprecast_patch_cnn,exPreCast + CNN,90,"[1,5)",0.5576948236973979,0.1549340667333946,156589
exprecast_patch_cnn,exPreCast + CNN,90,"[5,10)",-1.628760257115384,0.3066610601132883,44623
exprecast_patch_cnn,exPreCast + CNN,90,"[10,20)",-6.523587260399275,0.3650770964989671,24611
exprecast_patch_cnn,exPreCast + CNN,90,>=20,-21.27148369501501,0.40120887717211,9263
exprecast_patch_cnn,exPreCast + CNN,100,"[1,5)",0.4250593058627253,0.1426966103641228,156589
exprecast_patch_cnn,exPreCast + CNN,100,"[5,10)",-1.991061968291516,0.2869456230747368,44623
exprecast_patch_cnn,exPreCast + CNN,100,"[10,20)",-7.094776470035062,0.3479033778509993,24611
exprecast_patch_cnn,exPreCast + CNN,100,>=20,-22.25248003704361,0.389674728636774,9263
exprecast_patch_cnn,exPreCast + CNN,110,"[1,5)",0.3515828370760714,0.1297514002207229,156589
exprecast_patch_cnn,exPreCast + CNN,110,"[5,10)",-2.210027409823033,0.2526312549957151,44623
exprecast_patch_cnn,exPreCast + CNN,110,"[10,20)",-7.470991627891305,0.3027063965059423,24611
exprecast_patch_cnn,exPreCast + CNN,110,>=20,-22.94730744054213,0.3245461604989079,9263
exprecast_patch_cnn,exPreCast + CNN,120,"[1,5)",0.3189617620209277,0.1157582126035671,156589
exprecast_patch_cnn,exPreCast + CNN,120,"[5,10)",-2.357756126196701,0.2208053133256425,44623
exprecast_patch_cnn,exPreCast + CNN,120,"[10,20)",-7.74822771634959,0.2593370759873444,24611
exprecast_patch_cnn,exPreCast + CNN,120,>=20,-23.50361504188056,0.2702669486446916,9263
exprecast_patch_cnn,exPreCast + CNN,130,"[1,5)",0.2639926079933393,0.1238385896001246,156589
exprecast_patch_cnn,exPreCast + CNN,130,"[5,10)",-2.549548398289954,0.2391684012232452,44623
exprecast_patch_cnn,exPreCast + CNN,130,"[10,20)",-8.067998717714156,0.2868046336029369,24611
exprecast_patch_cnn,exPreCast + CNN,130,>=20,-24.07056706113588,0.3061909156670292,9263
exprecast_patch_cnn,exPreCast + CNN,140,"[1,5)",0.2432233190426467,0.1127218785592974,156589
exprecast_patch_cnn,exPreCast + CNN,140,"[5,10)",-2.671043330121048,0.2166925156110099,44623
exprecast_patch_cnn,exPreCast + CNN,140,"[10,20)",-8.288628520836152,0.2627450923980646,24611
exprecast_patch_cnn,exPreCast + CNN,140,>=20,-24.48920878144337,0.2837981597736481,9263
exprecast_patch_cnn,exPreCast + CNN,150,"[1,5)",0.2323256989774735,0.1076978389685824,156589
exprecast_patch_cnn,exPreCast + CNN,150,"[5,10)",-2.762364473854323,0.2040937827331854,44623
exprecast_patch_cnn,exPreCast + CNN,150,"[10,20)",-8.464019227841318,0.244196621478535,24611
exprecast_patch_cnn,exPreCast + CNN,150,>=20,-24.82001787431595,0.258178364247371,9263
exprecast_patch_cnn,exPreCast + CNN,160,"[1,5)",0.210214294276945,0.1165850059704774,156589
exprecast_patch_cnn,exPreCast + CNN,160,"[5,10)",-2.869895568268452,0.2160991615337241,44623
exprecast_patch_cnn,exPreCast + CNN,160,"[10,20)",-8.638425585162274,0.2576034207370494,24611
exprecast_patch_cnn,exPreCast + CNN,160,>=20,-25.13621037278094,0.2737244436127238,9263
exprecast_patch_cnn,exPreCast + CNN,170,"[1,5)",0.2092074391664594,0.0989646107884519,156589
exprecast_patch_cnn,exPreCast + CNN,170,"[5,10)",-2.922408128719924,0.1803381729024959,44623
exprecast_patch_cnn,exPreCast + CNN,170,"[10,20)",-8.747829151397688,0.2142714593548286,24611
exprecast_patch_cnn,exPreCast + CNN,170,>=20,-25.3788688904976,0.2276665056258618,9263
exprecast_patch_cnn,exPreCast + CNN,180,"[1,5)",0.1634271339084139,0.1064273558647916,156589
exprecast_patch_cnn,exPreCast + CNN,180,"[5,10)",-3.055410344746237,0.1914741342038255,44623
exprecast_patch_cnn,exPreCast + CNN,180,"[10,20)",-8.951098662358023,0.226761875895,24611
exprecast_patch_cnn,exPreCast + CNN,180,>=20,-25.68816194538077,0.2369222957274416,9263
direct_r2p,Direct R2P,60,"[1,5)",0.5559319094418411,0.0732168817444459,156589
direct_r2p,Direct R2P,60,"[5,10)",-0.1370978026281827,0.3020819067020061,44623
direct_r2p,Direct R2P,60,"[10,20)",-2.47670644425565,0.8134369863722646,24611
direct_r2p,Direct R2P,60,>=20,-11.77872592639535,1.70913731759831,9263
direct_r2p,Direct R2P,70,"[1,5)",0.5834223366482147,0.0702941602136853,156589
direct_r2p,Direct R2P,70,"[5,10)",-0.3332956243937506,0.2744147698844882,44623
direct_r2p,Direct R2P,70,"[10,20)",-3.103644134935902,0.7622295091137693,24611
direct_r2p,Direct R2P,70,>=20,-13.56748804681792,1.624988128775342,9263
direct_r2p,Direct R2P,80,"[1,5)",0.5932640773732706,0.0877634728370676,156589
direct_r2p,Direct R2P,80,"[5,10)",-0.5704881713631478,0.2413998478697011,44623
