route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,threshold_mm,csi,pod,far,frequency_bias,hit,miss,false_alarm,correct_negative
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,140,1,0.4220452710883896,0.6405272963936602,0.4469639374607477,1.158201679385416,150579,84507,121698,4051796
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,140,5,0.2344306697603075,0.3076295909397811,0.5037198405195445,0.6198708230887805,24148,54349,24510,4305573
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,140,10,0.0606199708376086,0.0662750191887583,0.5846438482886216,0.1595619058865206,2245,31629,3160,4371546
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,140,20,0.0007550426059756,0.0007556946993414,0.5333333333333333,0.0016193457843031,7,9256,8,4399309
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,150,1,0.4080880093417737,0.62138961911811,0.4568628325822811,1.14407493427937,146080,89006,122876,4050610
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,150,5,0.2146376543989737,0.2813610711237372,0.524909654104285,0.5922264545141852,22086,56411,24402,4305673
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,150,10,0.0504746406292378,0.0549388911849796,0.6168416718138768,0.1433843065477947,1861,32013,2996,4371702
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,150,20,0.0004315460135936,0.0004318255424808,0.6,0.001079563856202,4,9259,6,4399303
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,160,1,0.394718810061001,0.6027921696740767,0.4665251174557282,1.129935427885965,141708,93378,123924,4049554
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,160,5,0.1961521235370864,0.2566467508312419,0.545800924360275,0.5650534415327975,20146,58351,24209,4305858
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,160,10,0.0425705875940259,0.046112062348704,0.64337899543379,0.1293027100431009,1562,32312,2818,4371872
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,160,20,0.0001079563856202,0.0001079563856202,0,0.0001079563856202,1,9262,0,4399301
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,170,1,0.3818400130886785,0.5857345822379895,0.4768889446071671,1.119713636711672,137698,97388,125531,4047939
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,170,5,0.179942615111354,0.2348879575015605,0.5652132902586837,0.5402372065174466,18438,60059,23969,4306090
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,170,10,0.0367077874121283,0.0396174056798724,0.6667494412714179,0.1188817382062939,1342,32532,2685,4371997
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,170,20,0,0,,0,0,9263,0,4399293
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,180,1,0.3704340186161909,0.5703274546336234,0.4861669470707039,1.109946998119837,134076,101010,126857,4046605
