route,route_label,lead_min,threshold_mm,frequency_bias_mean,frequency_bias_sd,n_observed_events
exprecast_patch_cnn,exPreCast + CNN,90,10,0.5764204601365847,0.0972422226470529,33874
exprecast_patch_cnn,exPreCast + CNN,90,20,0.0491921263809421,0.012684913592723,9263
exprecast_patch_cnn,exPreCast + CNN,100,1,1.082596723468575,0.0400135162266441,235086
exprecast_patch_cnn,exPreCast + CNN,100,5,0.8566654351970988,0.072267062435538,78497
exprecast_patch_cnn,exPreCast + CNN,100,10,0.4831729349943909,0.0905405230282546,33874
exprecast_patch_cnn,exPreCast + CNN,100,20,0.0347619561697074,0.009298673985814,9263
exprecast_patch_cnn,exPreCast + CNN,110,1,1.068036094592334,0.0423173388751256,235086
exprecast_patch_cnn,exPreCast + CNN,110,5,0.8147317731887842,0.065960909091737,78497
exprecast_patch_cnn,exPreCast + CNN,110,10,0.4403967644801322,0.0782322279709071,33874
exprecast_patch_cnn,exPreCast + CNN,110,20,0.0272769801000395,0.0063779599587222,9263
exprecast_patch_cnn,exPreCast + CNN,120,1,1.066504740109293,0.0376728227909829,235086
exprecast_patch_cnn,exPreCast + CNN,120,5,0.7930918803691012,0.0598508558955465,78497
exprecast_patch_cnn,exPreCast + CNN,120,10,0.4150676034716892,0.0670866677797112,33874
exprecast_patch_cnn,exPreCast + CNN,120,20,0.0216272625859152,0.0054304673175273,9263
exprecast_patch_cnn,exPreCast + CNN,130,1,1.060970595158084,0.0422194418745321,235086
exprecast_patch_cnn,exPreCast + CNN,130,5,0.7596638512724478,0.0660354927602054,78497
exprecast_patch_cnn,exPreCast + CNN,130,10,0.3754305170140324,0.0738854963006235,33874
exprecast_patch_cnn,exPreCast + CNN,130,20,0.016337399690525,0.0050777769216801,9263
exprecast_patch_cnn,exPreCast + CNN,140,1,1.062239634289863,0.0424181690353668,235086
exprecast_patch_cnn,exPreCast + CNN,140,5,0.7445804722898114,0.0611390134589902,78497
exprecast_patch_cnn,exPreCast + CNN,140,10,0.3588396213418354,0.0691659347356795,33874
exprecast_patch_cnn,exPreCast + CNN,140,20,0.0130987081219187,0.0054678959050624,9263
exprecast_patch_cnn,exPreCast + CNN,150,1,1.063293149457362,0.0414965510024552,235086
exprecast_patch_cnn,exPreCast + CNN,150,5,0.7394719968066722,0.0591013276842882,78497
exprecast_patch_cnn,exPreCast + CNN,150,10,0.3501210367833736,0.0670521102509435,33874
exprecast_patch_cnn,exPreCast + CNN,150,20,0.0112994350282485,0.0049251465287489,9263
exprecast_patch_cnn,exPreCast + CNN,160,1,1.067171162893579,0.04540131116805,235086
