gauge_log1p,fixed_readout_log1p,pair_count
0.0368906965045903,0.0368906965045903,1926577
0.0368906965045903,0.1106720895137709,1337457
0.0368906965045903,0.1844534825229515,863823
0.0368906965045903,0.2582348755321322,592660
0.0368906965045903,0.3320162685413128,417319
0.0368906965045903,0.4057976615504934,295405
0.0368906965045903,0.4795790545596741,211125
0.0368906965045903,0.5533604475688547,151647
0.0368906965045903,0.6271418405780353,109529
0.0368906965045903,0.700923233587216,79873
0.0368906965045903,0.7747046265963966,59484
0.0368906965045903,0.8484860196055772,44355
0.0368906965045903,0.922267412614758,34091
0.0368906965045903,0.9960488056239384,26414
0.0368906965045903,1.069830198633119,20591
0.0368906965045903,1.1436115916423,16216
0.0368906965045903,1.21739298465148,12975
0.0368906965045903,1.291174377660661,10624
0.0368906965045903,1.364955770669842,8779
0.0368906965045903,1.438737163679022,7391
0.0368906965045903,1.512518556688203,6038
0.0368906965045903,1.586299949697384,5077
0.0368906965045903,1.660081342706564,4136
0.0368906965045903,1.733862735715745,3548
0.0368906965045903,1.807644128724925,2804
0.0368906965045903,1.881425521734106,2461
0.0368906965045903,1.955206914743287,1953
0.0368906965045903,2.028988307752467,1593
0.0368906965045903,2.102769700761648,1327
0.0368906965045903,2.176551093770828,1166
0.0368906965045903,2.250332486780009,896
0.0368906965045903,2.32411387978919,807
0.0368906965045903,2.397895272798371,660
0.0368906965045903,2.471676665807551,505
0.0368906965045903,2.545458058816732,451
0.0368906965045903,2.619239451825912,361
0.0368906965045903,2.693020844835093,279
0.0368906965045903,2.766802237844273,231
0.0368906965045903,2.840583630853454,230
0.0368906965045903,2.914365023862634,158
0.0368906965045903,2.988146416871816,114
0.0368906965045903,3.061927809880996,97
0.0368906965045903,3.135709202890177,81
0.0368906965045903,3.209490595899357,60
0.0368906965045903,3.283271988908538,42
0.0368906965045903,3.357053381917718,39
0.0368906965045903,3.430834774926899,32
0.0368906965045903,3.50461616793608,13
0.0368906965045903,3.578397560945261,15
0.0368906965045903,3.652178953954441,8
0.0368906965045903,3.725960346963622,5
0.0368906965045903,3.799741739972802,5
0.0368906965045903,3.873523132981983,3
0.0368906965045903,3.947304525991163,1
0.0368906965045903,4.021085919000344,5
0.1106720895137709,0.0368906965045903,69362
0.1106720895137709,0.1106720895137709,20859
0.1106720895137709,0.1844534825229515,18024
0.1106720895137709,0.2582348755321322,14955
0.1106720895137709,0.3320162685413128,11830
0.1106720895137709,0.4057976615504934,8867
0.1106720895137709,0.4795790545596741,6206
0.1106720895137709,0.5533604475688547,4370
0.1106720895137709,0.6271418405780353,2974
0.1106720895137709,0.700923233587216,1939
0.1106720895137709,0.7747046265963966,1423
0.1106720895137709,0.8484860196055772,886
0.1106720895137709,0.922267412614758,640
0.1106720895137709,0.9960488056239384,485
0.1106720895137709,1.069830198633119,351
0.1106720895137709,1.1436115916423,248
0.1106720895137709,1.21739298465148,229
0.1106720895137709,1.291174377660661,172
0.1106720895137709,1.364955770669842,127
0.1106720895137709,1.438737163679022,83
0.1106720895137709,1.512518556688203,78
0.1106720895137709,1.586299949697384,61
0.1106720895137709,1.660081342706564,68
0.1106720895137709,1.733862735715745,32
0.1106720895137709,1.807644128724925,30
0.1106720895137709,1.881425521734106,36
0.1106720895137709,1.955206914743287,13
0.1106720895137709,2.028988307752467,15
0.1106720895137709,2.102769700761648,13
0.1106720895137709,2.176551093770828,12
0.1106720895137709,2.250332486780009,10
0.1106720895137709,2.32411387978919,7
0.1106720895137709,2.397895272798371,9
0.1106720895137709,2.471676665807551,2
0.1106720895137709,2.545458058816732,5
0.1106720895137709,2.619239451825912,3
0.1106720895137709,2.766802237844273,3
0.1106720895137709,2.840583630853454,2
0.1106720895137709,2.914365023862634,2
0.1106720895137709,3.209490595899357,1
0.1844534825229515,0.0368906965045903,33245
0.1844534825229515,0.1106720895137709,12782
0.1844534825229515,0.1844534825229515,11871
0.1844534825229515,0.2582348755321322,10907
0.1844534825229515,0.3320162685413128,9965
0.1844534825229515,0.4057976615504934,8225
0.1844534825229515,0.4795790545596741,6401
0.1844534825229515,0.5533604475688547,4847
0.1844534825229515,0.6271418405780353,3363
0.1844534825229515,0.700923233587216,2393
0.1844534825229515,0.7747046265963966,1698
0.1844534825229515,0.8484860196055772,1211
0.1844534825229515,0.922267412614758,841
0.1844534825229515,0.9960488056239384,651
0.1844534825229515,1.069830198633119,415
0.1844534825229515,1.1436115916423,309
0.1844534825229515,1.21739298465148,197
0.1844534825229515,1.291174377660661,185
0.1844534825229515,1.364955770669842,131
0.1844534825229515,1.438737163679022,111
0.1844534825229515,1.512518556688203,94
0.1844534825229515,1.586299949697384,69
0.1844534825229515,1.660081342706564,58
0.1844534825229515,1.733862735715745,56
0.1844534825229515,1.807644128724925,35
0.1844534825229515,1.881425521734106,24
0.1844534825229515,1.955206914743287,18
0.1844534825229515,2.028988307752467,11
0.1844534825229515,2.102769700761648,10
0.1844534825229515,2.176551093770828,18
0.1844534825229515,2.250332486780009,14
0.1844534825229515,2.32411387978919,15
0.1844534825229515,2.397895272798371,7
0.1844534825229515,2.471676665807551,3
0.1844534825229515,2.545458058816732,3
0.1844534825229515,2.619239451825912,5
0.1844534825229515,2.693020844835093,1
0.1844534825229515,2.766802237844273,2
0.1844534825229515,2.914365023862634,1
0.1844534825229515,2.988146416871816,2
0.1844534825229515,3.061927809880996,1
0.1844534825229515,3.209490595899357,1
0.2582348755321322,0.0368906965045903,19411
0.2582348755321322,0.1106720895137709,7979
0.2582348755321322,0.1844534825229515,7914
0.2582348755321322,0.2582348755321322,7699
0.2582348755321322,0.3320162685413128,7466
0.2582348755321322,0.4057976615504934,6787
0.2582348755321322,0.4795790545596741,5686
0.2582348755321322,0.5533604475688547,4633
0.2582348755321322,0.6271418405780353,3566
0.2582348755321322,0.700923233587216,2584
0.2582348755321322,0.7747046265963966,1829
0.2582348755321322,0.8484860196055772,1356
0.2582348755321322,0.922267412614758,883
0.2582348755321322,0.9960488056239384,670
0.2582348755321322,1.069830198633119,459
0.2582348755321322,1.1436115916423,348
0.2582348755321322,1.21739298465148,267
0.2582348755321322,1.291174377660661,193
0.2582348755321322,1.364955770669842,141
0.2582348755321322,1.438737163679022,113
0.2582348755321322,1.512518556688203,99
0.2582348755321322,1.586299949697384,73
0.2582348755321322,1.660081342706564,49
0.2582348755321322,1.733862735715745,48
0.2582348755321322,1.807644128724925,34
0.2582348755321322,1.881425521734106,30
