gauge_bin,n_pairs,fixed_readout_to_gauge_amount_ratio,gauge_conditioned_amount_bias_mm
1–5,3278010,0.7831223564066995,-0.4622626880345703
5–10,879171,0.6145420898397146,-2.618175803143766
10–20,443668,0.5335097889997347,-6.276603772201251
≥20,158145,0.4740313702518507,-15.52383847280084
