metric_group,metric,contrast,left_route,right_route,lead_min,threshold_mm,left_point,right_point,delta,ci_low,ci_high,ci_excludes_zero,bootstrap_valid_reps,bootstrap_reps,member_count,member_ids
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,60,1,0.6355453670919159,0.6221952335804158,0.0133501335115,0.010460552573204,0.0164814621210098,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,60,1,0.7252253785139623,0.70819473157341,0.0170306469405523,0.0123557433485984,0.0221176147460937,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,60,1,0.1627517638894928,0.1631868013484757,-0.0004350374589828,-0.0046081703156232,0.0038192547857761,False,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,60,1,0.866309917788951,0.8463952199053396,0.0199146978836113,0.01113793104887,0.0294297948479652,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,60,5,0.4855362501041696,0.4789079834309089,0.0066282666732607,-0.0009835921227931,0.0141138881444931,False,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,60,5,0.6195693253669993,0.5812366502329177,0.0383326751340815,0.0273536309599876,0.0487998202443122,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,60,5,0.3067980005525837,0.2683728989430034,0.0384251016095802,0.0301852047443389,0.047468576580286,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,60,5,0.8953208402868899,0.7948584022319324,0.1004624380549574,0.0803589016199111,0.121501412987709,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,60,10,0.3668658108623086,0.3544952123313102,0.0123705985309983,0.0023383036255836,0.0225773021578788,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,60,10,0.4812343783826336,0.4190824821396941,0.0621518962429395,0.0464945562183857,0.0774016961455345,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,60,10,0.3825811513095715,0.3030579946121075,0.079523156697464,0.0660403467714786,0.0924743749201297,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,60,10,0.7888252543740529,0.6012772824782036,0.1875479718958493,0.1538391008973121,0.2211775884032249,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,60,20,0.206890852637906,0.1460332792813576,0.0608575733565484,0.0371264053508639,0.0815695911645889,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,60,20,0.2449170535103818,0.156212889992443,0.0887041635179387,0.0593731228262186,0.1140996435657143,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,60,20,0.3556956924687655,0.3042888681389294,0.0514068243298361,0.0165854893624782,0.0885330379009246,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,60,20,0.4010579725790781,0.2250530785562632,0.1760048940228148,0.1310419883579015,0.2203841991722583,True,50000,50000,,
continuous,rmse,exprecast_minus_pysteps,exprecast,pysteps,60,,1.274775023635672,1.297312050204114,-0.0225370265684419,-0.0427280962467193,-0.0028628021478652,True,50000,50000,,
continuous,mean_bias,exprecast_minus_pysteps,exprecast,pysteps,60,,-0.0386065821886965,-0.0623469724851746,0.0237403902964781,0.0164490555878728,0.0316865175962448,True,50000,50000,,
continuous,correlation,exprecast_minus_pysteps,exprecast,pysteps,60,,0.7756636855868541,0.7721989283414574,0.0034647572453966,-0.0025160863995552,0.0092371150851249,False,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,90,1,0.5533767168864178,0.5185547058345225,0.0348220110518953,0.0304773345589637,0.0390744268894195,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,90,1,0.6406180433259885,0.6132096339212033,0.0274084094047851,0.0211447343230247,0.0337613865733146,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,90,1,0.1974794739892415,0.2291990821221913,-0.0317196081329498,-0.0390718702226877,-0.0250082295387983,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,90,1,0.7982667335925292,0.795697461070984,0.0025692725215451,-0.0096714556217193,0.014748877286911,False,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,90,5,0.3866988872622279,0.3350847410676663,0.0516141461945615,0.0421525821089744,0.0602509461343288,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,90,5,0.4996411752466124,0.4138714430700112,0.0857697321766011,0.0719190247356891,0.0978804975748062,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,90,5,0.3682268769445064,0.3611978544355946,0.0070290225089117,-0.0052513107657432,0.018756029009819,False,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,90,5,0.7914060409951973,0.64858529625336,0.1428207447418372,0.1167552545666694,0.1670646160840988,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,90,10,0.249418209989186,0.1624775307504226,0.0869406792387633,0.0703840617090463,0.102075058966875,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,90,10,0.3175887111058629,0.1853732459506799,0.1322154651551829,0.1083913996815681,0.1528075478971004,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,90,10,0.4552987109632049,0.4319669088025902,0.0233318021606147,-0.0026172384619712,0.0473907843232154,False,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,90,10,0.586634783806656,0.3262580937198638,0.2603766900867922,0.2173948727548122,0.2986690416932106,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,90,20,0.0860026614128287,0.0277177392195098,0.0582849221933188,0.0332243359647691,0.0809949791058897,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,90,20,0.0946777501889236,0.0284285148799884,0.0662492353089351,0.0380327772349119,0.092725827358663,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,90,20,0.4316757508192017,0.4641464907131594,-0.0324707398939576,-0.1030026994645595,0.054510485380888,False,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,90,20,0.1762567922559286,0.0531505271870164,0.1231062650689121,0.0849587878212332,0.1607425738126039,True,50000,50000,,
continuous,rmse,exprecast_minus_pysteps,exprecast,pysteps,90,,1.482351846317932,1.56933579438615,-0.0869839480682177,-0.1176678448915481,-0.0573968440294265,True,50000,50000,,
continuous,mean_bias,exprecast_minus_pysteps,exprecast,pysteps,90,,-0.0699229412335366,-0.0966177510304952,0.0266948097969586,0.0171128766611218,0.0373004419729113,True,50000,50000,,
continuous,correlation,exprecast_minus_pysteps,exprecast,pysteps,90,,0.6759406362255665,0.6328378519524144,0.0431027842731521,0.0309994056820869,0.0543432876467704,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,120,1,0.4892735081249357,0.4434392210887892,0.0458342870361465,0.039867902547121,0.0514055557548999,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,120,1,0.5733306109253635,0.5374742292891397,0.0358563816362238,0.0276566952466964,0.0438939407467842,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,120,1,0.2304779367522337,0.2826744406491774,-0.0521965038969436,-0.0627970162779092,-0.0426599822938442,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,120,1,0.7451032104563153,0.7494562273664389,-0.0043530169101235,-0.0206100776791572,0.0114667356014251,False,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,120,5,0.3122101692924028,0.2247090245958828,0.08750114469652,0.0721080131828784,0.1011511255055666,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,120,5,0.3968516843531175,0.2730210496367165,0.123830634716401,0.102258488535881,0.1423597358167171,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,120,5,0.4056334606960956,0.4389721765207562,-0.0333387158246605,-0.0516983486711978,-0.0162636928260326,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,120,5,0.6678004679584357,0.4873477118021496,0.1804527561562861,0.1449067965149879,0.212096606194973,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,120,10,0.1434313204586293,0.057552056813258,0.0858792636453713,0.0664553614333272,0.1028214121237397,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,120,10,0.168782350278483,0.0621518962429395,0.1066304540355435,0.0816942136734724,0.1286387175321579,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,120,10,0.5046894907119539,0.5627136775329334,-0.0580241868209795,-0.0963908404111862,-0.0180264845490455,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,120,10,0.3420420775029029,0.1419672905473224,0.2000747869555805,0.1586626924574375,0.2365644704550505,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,120,20,0.0254639706691175,0.0022570524140676,0.0232069182550499,0.0113847868051379,0.0367134446278214,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,120,20,0.0263773435532045,0.0022670840980243,0.0241102594551801,0.0117434481391683,0.0385901654139161,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,120,20,0.4872600488256397,0.6351868415821905,-0.1479267927565508,-0.2962964549660682,-0.0140383571386337,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,120,20,0.0541581201194717,0.0062254849040987,0.0479326352153729,0.0271450788713991,0.0726379329338669,True,50000,50000,,
continuous,rmse,exprecast_minus_pysteps,exprecast,pysteps,120,,1.616564134690846,1.72116440530134,-0.1046002706104947,-0.1360933095216751,-0.0743633508682251,True,50000,50000,,
continuous,mean_bias,exprecast_minus_pysteps,exprecast,pysteps,120,,-0.0999146691580116,-0.1226810664213273,0.0227663972633156,0.0131421290338039,0.0335047943517565,True,50000,50000,,
continuous,correlation,exprecast_minus_pysteps,exprecast,pysteps,120,,0.5968786526217116,0.524194904292897,0.0726837483288146,0.0569210037589073,0.0879297569394111,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,150,1,0.4411219665705855,0.3860084142892896,0.0551135522812958,0.0474549196660518,0.0619654037058353,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,150,1,0.5221167289133906,0.4748900402405928,0.0472266886727977,0.0364244580268859,0.0573306947946548,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,150,1,0.2600910728197856,0.3263652533558454,-0.0662741805360597,-0.0805187985301017,-0.0537964917719364,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,150,1,0.705693519251111,0.7050767236954419,0.000616795555669,-0.0210523158311843,0.0211312517523765,False,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,150,5,0.2452693574321225,0.1461886409372838,0.0990807164948387,0.0766685117036104,0.1195724338293075,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,150,5,0.3067760551358651,0.1729153131117537,0.1338607420241113,0.1036220863461494,0.1606295354664326,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,150,5,0.4497394655813378,0.5123343077041679,-0.06259484212283,-0.0904337272047996,-0.036405724287033,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,150,5,0.5574862733607654,0.3550454157483725,0.2024408576123929,0.1543064847588539,0.2451861500740051,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,150,10,0.071107522259715,0.022229081490318,0.048878440769397,0.0312456487677991,0.0662352468818426,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,150,10,0.0786443880262148,0.0232134773966267,0.055430910629588,0.0351453309878707,0.0759244825690984,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,150,10,0.5691797571798878,0.6557249427056873,-0.0865451855257994,-0.145676577091217,-0.0184267982840537,True,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,150,10,0.1829131487276377,0.0672984196335439,0.1156147290940938,0.0802647357806563,0.1484088838100433,True,50000,50000,,
categorical,csi,exprecast_minus_pysteps,exprecast,pysteps,150,20,0.0055107875301725,0.0004666446860316,0.0050441428441408,0.0007530249044066,0.011507715890184,True,50000,50000,,
categorical,pod,exprecast_minus_pysteps,exprecast,pysteps,150,20,0.0055777465903774,0.0004678110043542,0.0051099355860232,0.0007614167378051,0.0117359641008079,True,50000,50000,,
categorical,far,exprecast_minus_pysteps,exprecast,pysteps,150,20,0.5450544232595514,0.8482372747078629,-0.3031828514483115,-0.4483920775353908,0.0591117039322854,False,50000,50000,,
categorical,frequency_bias,exprecast_minus_pysteps,exprecast,pysteps,150,20,0.0147900248299686,0.0023030695598978,0.0124869552700708,0.0030200929788406,0.0246474527288228,True,50000,50000,,
continuous,rmse,exprecast_minus_pysteps,exprecast,pysteps,150,,1.708862780275751,1.806614218655689,-0.0977514383799382,-0.1284421324729919,-0.0690302580595016,True,50000,50000,,
continuous,mean_bias,exprecast_minus_pysteps,exprecast,pysteps,150,,-0.1209475423427747,-0.1403744421417565,0.0194268997989818,0.0092288464307785,0.0309139374643564,True,50000,50000,,
continuous,correlation,exprecast_minus_pysteps,exprecast,pysteps,150,,0.5308306889476894,0.4442210177096062,0.0866096712380831,0.0678822785615921,0.1053586773574352,True,50000,50000,,
