contrast,left_route,right_route,scope,left_csi_macro,right_csi_macro,delta_csi_macro,ci_low_95,ci_high_95,bootstrap_fraction_delta_gt_zero,bootstrap_valid_resamples
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,equal mean over 13 leads x 4 thresholds,0.2720310336002414,0.2229317360467866,0.0490992975534547,0.0425152636027832,0.0553540042390808,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,equal mean over 13 leads x 4 thresholds,0.316109761273065,0.2720310336002414,0.0440787276728236,0.0383233044725372,0.0498467187106585,1,50000
