route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,rmse,mean_bias,correlation,mae,finite_pair_count
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,60,1.360966286867124,0.1244074560760314,0.7548090246917348,0.3598415032091056,4408654
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,70,1.428943323578071,0.1158965416676852,0.718624196511504,0.3716411845404052,4408644
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,80,1.492510590284465,0.1076285466611809,0.6813517900625502,0.3825002160393451,4408635
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,90,1.547827110984916,0.1000183765052234,0.6460005529941698,0.3920988765527581,4408626
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,100,1.596848370285613,0.0927814829679469,0.6122116295393029,0.4007013474496092,4408617
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,110,1.638958170844901,0.0861399709053076,0.5810566853458493,0.4083055497963603,4408607
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,120,1.676160336865176,0.0799804275213062,0.5517649939887551,0.41511476259806,4408597
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,130,1.709721661982218,0.0741541753216005,0.5237113527203938,0.4213927109175651,4408588
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,140,1.738651808629894,0.06879038121248,0.4981787266595555,0.4269873805184009,4408580
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,150,1.764469679590557,0.0637553512617961,0.4741890746786529,0.4320143624978177,4408572
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,160,1.787191673211482,0.0591978530935402,0.4520219107281107,0.4366534397110979,4408564
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,170,1.806911271600849,0.0550429574622667,0.4318994106315084,0.4409051293121231,4408556
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,180,1.824391525214852,0.0511174935992478,0.4132849516808124,0.44482077204495,4408548
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,60,1.358743118081801,0.1151385131892026,0.7584263826476924,0.3597883909623194,4408654
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,70,1.425809976687638,0.1097589123189026,0.7215499526721967,0.372810398160026,4408644
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,80,1.488807809244993,0.1043229642754375,0.683861969295348,0.3849746115055776,4408635
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,90,1.544723970102653,0.0991627700305087,0.6476588899340097,0.3958138419705829,4408626
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,100,1.594032446792788,0.0944706723472175,0.6133434938992699,0.4058594655396393,4408617
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,110,1.636977020734057,0.0901967851457702,0.5814993917958513,0.4147546848743382,4408607
