route,route_label,lead_min,member_count,rmse_mean,rmse_sd,mean_bias_mean,mean_bias_sd,correlation_mean,correlation_sd,mae_mean,mae_sd,finite_pair_count_mean,finite_pair_count_sd
pysteps_patch_cnn,pySTEPS + CNN,60,3,1.363924785907022,0.0071366909212879,0.1122238571232701,0.0138725017216419,0.7577415297109303,0.0026571177162731,0.3573880704843164,0.0042035574627809,4408654,0
pysteps_patch_cnn,pySTEPS + CNN,70,3,1.430427742411698,0.0055119831246115,0.1057983744663498,0.0125559951556985,0.721057416412599,0.0022281611308967,0.3699001849729697,0.004070270284359,4408644,0
pysteps_patch_cnn,pySTEPS + CNN,80,3,1.492507564323699,0.0036982430267816,0.0994772892351177,0.0113763750324531,0.683633420366466,0.0021763748056287,0.3814462887489283,0.0041567318714594,4408635,0
pysteps_patch_cnn,pySTEPS + CNN,90,3,1.547275203291601,0.0023249403566349,0.0936702271238996,0.0102632602521338,0.6478140209216798,0.0018957997304952,0.3917753205233258,0.0042096356075544,4408626,0
pysteps_patch_cnn,pySTEPS + CNN,100,3,1.59580524356874,0.0015432660417752,0.088262517796316,0.0093282722594228,0.6137301470436205,0.0017442865684145,0.4011753157699869,0.0044660683419016,4408617,0
pysteps_patch_cnn,pySTEPS + CNN,110,3,1.63818255176317,0.0010582330330795,0.0833113564261538,0.0086536935406846,0.5819378759033677,0.0011641104614122,0.4095812105732974,0.0046682489774021,4408607,0
pysteps_patch_cnn,pySTEPS + CNN,120,3,1.676132318548325,0.0001538821148336,0.0788629583970824,0.0081423306919592,0.5517334611041478,0.0011413964838801,0.4173257243797883,0.004988630098562,4408597,0
pysteps_patch_cnn,pySTEPS + CNN,130,3,1.709965212168764,0.000408874799383,0.0747751564574481,0.0080714834067418,0.5233041365275656,0.0009379684182156,0.4244631642191863,0.0054096126277627,4408588,0
pysteps_patch_cnn,pySTEPS + CNN,140,3,1.739589830388746,0.0010382079459435,0.0711234678481776,0.0081993396436907,0.4971652041214635,0.0011267665464525,0.4309947078225786,0.0058809732581569,4408580,0
pysteps_patch_cnn,pySTEPS + CNN,150,3,1.766026704756595,0.0020606573700674,0.067757736576816,0.0085106483028274,0.4727839892519929,0.0016985639936512,0.4369297143105849,0.0064434562880865,4408572,0
pysteps_patch_cnn,pySTEPS + CNN,160,3,1.789161095562209,0.0022475135840558,0.0647114628312551,0.0089636025766336,0.4505141916056678,0.001531920785482,0.4424140419683184,0.0068932127144754,4408564,0
pysteps_patch_cnn,pySTEPS + CNN,170,3,1.809663537016356,0.0030907627689442,0.0621170307603892,0.0095649704847888,0.43004044142513,0.0019118254158176,0.4475519928315054,0.0074546194655767,4408556,0
pysteps_patch_cnn,pySTEPS + CNN,180,3,1.828105051944779,0.0037666512839322,0.0597784962889343,0.0103965133493296,0.4109805137193151,0.0021407918662356,0.4524680234534552,0.0081144020542467,4408548,0
exprecast_patch_cnn,exPreCast + CNN,60,3,1.334015978171244,0.0047879767513955,0.2240278189770645,0.0176878933148321,0.7550694600234019,0.0033325513426277,0.4250541036084592,0.0093208891752561,4408654,0
exprecast_patch_cnn,exPreCast + CNN,70,3,1.388198032565779,0.0037072299272901,0.2076054125002822,0.0137061897921214,0.7288487417170444,0.0026440926721746,0.4297440223901872,0.0087056555893598,4408644,0
exprecast_patch_cnn,exPreCast + CNN,80,3,1.434254628040911,0.0020054612061327,0.1875650068092087,0.0137350797454421,0.7061237519556918,0.003131991489396,0.4320264485854241,0.0087822663202509,4408635,0
exprecast_patch_cnn,exPreCast + CNN,90,3,1.479320832200994,0.0015998958420523,0.1694999241600694,0.0139215454643418,0.6834136734827739,0.0033085348003124,0.4351694542541949,0.009303941214767,4408626,0
exprecast_patch_cnn,exPreCast + CNN,100,3,1.521620131270693,0.0026975339432028,0.1560607377945391,0.0126923142539215,0.6601688279033496,0.0031945270022784,0.4394264613047593,0.0093401456725486,4408617,0
exprecast_patch_cnn,exPreCast + CNN,110,3,1.558435327519745,0.0021908888326463,0.1486850168631646,0.0106327530389043,0.6371656597015981,0.0026900444026463,0.4448433345636116,0.0091110757026251,4408607,0
exprecast_patch_cnn,exPreCast + CNN,120,3,1.590546468698241,0.001188243053638,0.1454985636979062,0.0103171496902841,0.615486607621298,0.0023456718482642,0.451100009977786,0.0096237435998824,4408597,0
exprecast_patch_cnn,exPreCast + CNN,130,3,1.619961429865447,0.0018918895573675,0.140398288576667,0.0103331135575003,0.5954562674497005,0.0021154305125009,0.4563498072011456,0.0095295463230131,4408588,0
exprecast_patch_cnn,exPreCast + CNN,140,3,1.645372756386988,0.0011863696031382,0.1388847929218951,0.0106953131027296,0.576622402682386,0.0018416465474454,0.4621947532644312,0.0099654821622311,4408580,0
exprecast_patch_cnn,exPreCast + CNN,150,3,1.668158958232518,0.0003781787803539,0.1387361795681804,0.0097626000321868,0.5590096846933008,0.0017329414434748,0.4680632818571764,0.0098744434445117,4408572,0
exprecast_patch_cnn,exPreCast + CNN,160,3,1.688872878626803,0.0004663642214155,0.1380264243267629,0.0094876016295973,0.542762224260009,0.0016470602138201,0.4735167196488456,0.0096667621397169,4408564,0
exprecast_patch_cnn,exPreCast + CNN,170,3,1.70744867518003,0.0016388498538616,0.139400995044441,0.010883429321665,0.5275583487151116,0.0014242609638471,0.479331032484992,0.010599353546382,4408556,0
exprecast_patch_cnn,exPreCast + CNN,180,3,1.724213653419472,0.0018298884240866,0.1370418192127231,0.0104631732845054,0.513674908624065,0.0015065839110805,0.4836048749817578,0.0105122875242906,4408548,0
direct_r2p,Direct R2P,60,3,1.18272372788543,0.0154586592170357,0.0650086269057512,0.0890875294330171,0.8115917666834825,0.0074235833995491,0.2426615772275946,0.074375302691913,4408654,0
direct_r2p,Direct R2P,70,3,1.263642289335364,0.0149493532621437,0.0614224083410103,0.0839772209137513,0.7805554548115774,0.0079916744117306,0.2566746174508776,0.0702153648221596,4408644,0
direct_r2p,Direct R2P,80,3,1.338965625292567,0.013402678459601,0.0536559571225357,0.0737896206652617,0.7481843594396117,0.0078986022265978,0.2672407812968733,0.0614942198109083,4408635,0
direct_r2p,Direct R2P,90,3,1.405588270663284,0.0107945664687617,0.0471666452265227,0.0659032352740246,0.7165314403200224,0.007044983875688,0.2782425011488085,0.0552558502385919,4408626,0
direct_r2p,Direct R2P,100,3,1.462835327801039,0.007475310855563,0.0429676453170181,0.0614821363431061,0.6870073527941631,0.0056937099733218,0.2899284770968341,0.0517243055800487,4408617,0
direct_r2p,Direct R2P,110,3,1.51230318296648,0.0039658782849092,0.039675403287612,0.0615063585341802,0.6596922344395332,0.0045357315994736,0.3005823336411584,0.0518560259943409,4408607,0
direct_r2p,Direct R2P,120,3,1.557089100280621,0.0024689392368409,0.0396231668435338,0.0655348302150665,0.6334814774186655,0.0044820737089338,0.313154335685495,0.055613977141316,4408597,0
direct_r2p,Direct R2P,130,3,1.596473605320536,0.0024366845476982,0.0363556195429708,0.0686711499072328,0.6090331610138069,0.0048540001187829,0.3215475400491435,0.0577266035308949,4408588,0
direct_r2p,Direct R2P,140,3,1.631439408003353,0.0031885442592187,0.0381985993076622,0.0733452340043213,0.5862546816259436,0.0055064756744069,0.3333922072454632,0.0617488188695538,4408580,0
direct_r2p,Direct R2P,150,3,1.662650168975244,0.0027495487382484,0.0388163061586658,0.0794217475125527,0.5651117438895213,0.0060199922717476,0.3431788190750115,0.0662348252012779,4408572,0
direct_r2p,Direct R2P,160,3,1.689606317317233,0.0017418018801961,0.0424645478399517,0.0813039239979358,0.5459820597523416,0.006363060726847,0.3546554313697216,0.0679831466857111,4408564,0
direct_r2p,Direct R2P,170,3,1.712749448897745,0.0009958226029974,0.0471747437455356,0.0849575353371592,0.5285979988069428,0.0065845212052728,0.3667562295681676,0.0712092901572167,4408556,0
direct_r2p,Direct R2P,180,3,1.732529951809653,0.0006122480686355,0.0526311623016333,0.0838754917091204,0.5129967719041796,0.0067420169986411,0.3788213183027245,0.0709797397279476,4408548,0
