case_rank,window_start_exclusive,window_end_inclusive,q95_station_total_mm,n_complete_stations,selected,mechanism_label,event_label
1,2025-07-17 00:00:00,2025-07-18 00:00:00,278,589,True,Upper-level cold trough and moist inflow,17 July 2025
2,2024-09-20 21:00:00,2024-09-21 21:00:00,275.3249999999999,610,True,Stationary front and approaching tropical depression,21 September 2024
