Event window (KST),Across-station 95th-percentile total (mm),Complete stations (n)
"17–18 July 2025; (17 Jul 2025 00:00, 18 Jul 2025 00:00]",278,589
"20–21 September 2024; (20 Sep 2024 21:00, 21 Sep 2024 21:00]",275.3,610
