route,route_label,lead_min,threshold_mm,member_count,csi_mean,csi_sd,pod_mean,pod_sd,far_mean,far_sd,frequency_bias_mean,frequency_bias_sd
exprecast_patch_cnn,exPreCast + CNN,160,20,3,0.0040742477536743,0.0022712472245032,0.0041023426535679,0.0022977217590189,0.59253108003108,0.0166756381355858,0.0099319874770592,0.0051695217073573
exprecast_patch_cnn,exPreCast + CNN,170,1,3,0.4418328432282024,0.0018521811361514,0.6334050801267054,0.0130405270291444,0.4059813428667189,0.0143814649166488,1.067086087644522,0.0484052862571542
exprecast_patch_cnn,exPreCast + CNN,170,5,3,0.2696984404395225,0.0069279460329556,0.3670883388324819,0.0190084291842543,0.4948276088733714,0.0126398688147045,0.7275776993600603,0.055055966025917
exprecast_patch_cnn,exPreCast + CNN,170,10,3,0.1176571094389979,0.012844718941712,0.1413670268249001,0.0201259313390205,0.5817271899130024,0.0187714689534595,0.3398279900021649,0.0621159745189412
exprecast_patch_cnn,exPreCast + CNN,170,20,3,0.0035732804836734,0.0016726930274571,0.0035985461873403,0.0016943765327278,0.6386752136752136,0.0126646508655875,0.0098600165533124,0.0042875586767732
exprecast_patch_cnn,exPreCast + CNN,180,1,3,0.4325111058864027,0.0016281419679402,0.6241191166920474,0.0128347541223421,0.4147786284026289,0.0137859481656406,1.067215118438926,0.0476795700949454
exprecast_patch_cnn,exPreCast + CNN,180,5,3,0.2572199626237351,0.0076483602313983,0.3489517646109617,0.0204246603793463,0.5040852190590354,0.014070981581065,0.7047912659082513,0.0601966804959386
exprecast_patch_cnn,exPreCast + CNN,180,10,3,0.1053707880060089,0.0135912829679645,0.1257306488752435,0.0207347268433168,0.5978122161833744,0.021740960017968,0.3150006888272225,0.0666885790646604
exprecast_patch_cnn,exPreCast + CNN,180,20,3,0.0026806546763548,0.0014104438903765,0.0026989096405052,0.0014281287439623,0.6813441948648736,0.0261491872820071,0.0084925690021231,0.0043589966976554
direct_r2p,Direct R2P,60,1,3,0.6247593662096281,0.0074135346592775,0.8029997532817778,0.0180936819845412,0.2619463856547355,0.0076785842258877,1.088211689906389,0.0343542305001973
direct_r2p,Direct R2P,60,5,3,0.5322964924964135,0.0145851389678553,0.7059165743064492,0.0182740290609509,0.316085454324305,0.0098586903860927,1.032162587954529,0.0217585931888508
direct_r2p,Direct R2P,60,10,3,0.4411746257312866,0.0181209090060889,0.5956781011985594,0.0363447287117842,0.3695450870839916,0.0061285835220707,0.9451595127039422,0.0645128773607234
direct_r2p,Direct R2P,60,20,3,0.3208933686367415,0.0228490815889049,0.4287667782215985,0.0640932191218581,0.4278609136636749,0.0514650390038547,0.7598330274569074,0.1738111330919995
direct_r2p,Direct R2P,70,1,3,0.6005652301961435,0.008583427495563,0.7924887062606875,0.0138567505105858,0.2873167377070714,0.0063691343466414,1.112052610534017,0.0230114760908508
direct_r2p,Direct R2P,70,5,3,0.5003386000066178,0.0142723816657172,0.6724842987630101,0.0146453719576906,0.3385169672228809,0.0147133662198392,1.016794697037254,0.0217257426570485
direct_r2p,Direct R2P,70,10,3,0.4024749939818452,0.0173272978791013,0.5482867882938733,0.0329203014956517,0.3973319942112378,0.0073440909196587,0.9099506012477612,0.0583733304000177
direct_r2p,Direct R2P,70,20,3,0.2724509444663403,0.0257661886102246,0.3613660081327143,0.0629068383540161,0.4608736154382615,0.0491369424221307,0.6808449386447876,0.1739258231648713
direct_r2p,Direct R2P,80,1,3,0.5764567576245064,0.0091918988651781,0.779799732863718,0.0108574959722849,0.3114566929095799,0.0084386255826234,1.132619551993738,0.0184546056023892
direct_r2p,Direct R2P,80,5,3,0.4687154145770796,0.0125517871397188,0.6377865820774468,0.0123028020803794,0.3611470394037153,0.0187760208087085,0.9988704451550166,0.0332397009387094
direct_r2p,Direct R2P,80,10,3,0.3645999353686296,0.0149772716137677,0.4985731436106355,0.0280522598398455,0.4238566105630652,0.0085263143960644,0.8655212453996182,0.0515056746217292
direct_r2p,Direct R2P,80,20,3,0.223855321328787,0.0282793721427271,0.291086401093958,0.0604206085289451,0.4899835524914056,0.0506788373223515,0.5821368167260427,0.1722836561710543
direct_r2p,Direct R2P,90,1,3,0.5540404411877473,0.0088052828546969,0.766441500840827,0.0098997768267926,0.3333917644679946,0.0099284956240166,1.149922439731276,0.0217403429188494
direct_r2p,Direct R2P,90,5,3,0.4401250790484609,0.0094798021401875,0.6053734537625641,0.0130780109909541,0.3823667215091884,0.0213668325054478,0.9811967336331324,0.0485110618276004
direct_r2p,Direct R2P,90,10,3,0.3295575941673169,0.0113922011446864,0.4513392769282242,0.0215874292478902,0.4497614091709179,0.0106343578483138,0.8205408277735136,0.0443926500928609
direct_r2p,Direct R2P,90,20,3,0.1788963405115143,0.0276401067971035,0.2262405987980855,0.0516079326005071,0.520612520921429,0.0435889011400491,0.4809097124761596,0.1489390621739574
direct_r2p,Direct R2P,100,1,3,0.5339941607991442,0.007877769996093,0.7541183510148061,0.0105800353561768,0.3534036720699779,0.0082548246930792,1.166408605077858,0.0214353654713572
direct_r2p,Direct R2P,100,5,3,0.4144268620326432,0.006543989410326,0.5747438330976555,0.0152163959325929,0.4016307268577309,0.0212987264791449,0.9618159505034164,0.0566462047286389
direct_r2p,Direct R2P,100,10,3,0.2977848317152254,0.0100487357973753,0.4064080612465805,0.0207306144122036,0.4723681187170654,0.0113087162733841,0.7707287792013541,0.0484216461271026
direct_r2p,Direct R2P,100,20,3,0.1397656875291186,0.0285546255838434,0.171650653136133,0.0454460482057409,0.5512396781268096,0.033615591043902,0.3887869300802475,0.1288227465665706
direct_r2p,Direct R2P,110,1,3,0.5157676369577647,0.0070304464606092,0.7426360282336394,0.0128391505498154,0.3719091127846706,0.0075028462475924,1.182517603486951,0.0271181491108502
direct_r2p,Direct R2P,110,5,3,0.3909789845330254,0.0047817241152935,0.547689720626266,0.0213684691704349,0.4215058872530801,0.0212633176170206,0.9484438895753978,0.0703483365476114
direct_r2p,Direct R2P,110,10,3,0.2685951296510799,0.0113193260194417,0.3656393300663241,0.0229422267407901,0.4960725021663883,0.0127414656907339,0.726240381019858,0.0557069212810911
direct_r2p,Direct R2P,110,20,3,0.1085212479384241,0.0294562145713083,0.1293317499730109,0.0414861655582554,0.5775029039434306,0.0172382528679401,0.3088992047212925,0.1096994302999691
direct_r2p,Direct R2P,120,1,3,0.4989350746461263,0.0056610748775145,0.732385878642993,0.0153205532696272,0.3896952719824472,0.0064239963314041,1.200224598657513,0.0340393750173747
direct_r2p,Direct R2P,120,5,3,0.3695484087974052,0.0044602051940272,0.5219477602116429,0.0248146534469127,0.4400084154410145,0.0210772368034136,0.9340314491848946,0.0788465555529197
direct_r2p,Direct R2P,120,10,3,0.2421491462507263,0.0136552753193462,0.3286197870539843,0.0257572193350501,0.5196344921453827,0.011881696621408,0.6846548975615515,0.0603006088364066
direct_r2p,Direct R2P,120,20,3,0.0812327749385375,0.026562326656139,0.094713735650797,0.0347534616687899,0.6186731312121528,0.0059228593013235,0.2483356723883551,0.0916072326575219
direct_r2p,Direct R2P,130,1,3,0.4837822753575249,0.0042378478825597,0.7223030437088273,0.0183009815024844,0.4054352958676154,0.0079777862544558,1.21523045467049,0.0457678979276437
direct_r2p,Direct R2P,130,5,3,0.3498884935576334,0.0064314897273457,0.4976326059169989,0.0287212131839333,0.4573658334375528,0.0205340153254492,0.9192495679240396,0.0867618705394322
direct_r2p,Direct R2P,130,10,3,0.2180124042140192,0.0148997487741946,0.2945622010981874,0.0280804648433343,0.5422177059318959,0.0094064279601965,0.6440140914368936,0.0676669016976772
direct_r2p,Direct R2P,130,20,3,0.0608165368723583,0.0207179103664382,0.0695598978012882,0.0262068063710565,0.6546673490578617,0.0060662869347585,0.201734499262298,0.0775040639231389
direct_r2p,Direct R2P,140,1,3,0.468998834337553,0.0029912745865106,0.7145441809947565,0.0209620184166971,0.422527064197449,0.0091433926627937,1.237954053693825,0.0561710461514974
direct_r2p,Direct R2P,140,5,3,0.3311837211527239,0.0082076248158892,0.4742219447876989,0.0308788444935842,0.4748523834420438,0.0189075172439564,0.9051853361699598,0.090242976890595
direct_r2p,Direct R2P,140,10,3,0.1944335409242661,0.0170691248579634,0.2615083348093917,0.030442855358931,0.5669358219783399,0.0089100610603389,0.6041703568125012,0.0725828438805883
