family,threshold_mm,delta_csi_mean,ci_low,ci_high,bootstrap_reps,block,n_dates,interval,seed
center_mlp,1,-0.0382008197183172,-0.0472425999453311,-0.029684020547784,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
center_mlp,5,0.0106990495862735,-0.0140053617230673,0.0355120925728951,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
center_mlp,10,0.0840503193007294,0.04739965398324,0.1190782691575267,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
center_mlp,20,0.1827885804269478,0.1520071759240439,0.2140094986803905,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
patch_cnn,1,0.0334932776009123,0.0297510742440862,0.03722953491011,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
patch_cnn,5,0.1117317136130842,0.0939154474807126,0.1297618441205044,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
patch_cnn,10,0.2119187215143538,0.1825475710257133,0.2393919020972476,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
patch_cnn,20,0.2969513597308223,0.2667098337854848,0.3267919287992482,5000,valid_time_date_kst,244,pointwise percentile 95%,82164
