case_rank,event_label,lead_min,threshold_mm,route,route_label,member,replicate_id,upstream_seed,downstream_seed,hit,miss,false_alarm,correct_negative,finite_pair_count,n_issue_times,csi
1,17 July 2025,90,20,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,2,755,0,16909,17666,144,0.0026420079260237
1,17 July 2025,90,1,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,5911,1224,1675,8856,17666,144,0.6709421112372305
1,17 July 2025,90,5,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,2190,1003,1472,13001,17666,144,0.4694533762057878
1,17 July 2025,90,10,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,945,759,646,15316,17666,144,0.4021276595744681
1,17 July 2025,90,20,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,82,675,55,16854,17666,144,0.1009852216748768
1,17 July 2025,90,1,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,5931,1204,1702,8829,17666,144,0.6711553694692769
1,17 July 2025,90,5,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,2238,955,1496,12977,17666,144,0.4772872680742162
1,17 July 2025,90,10,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,971,733,695,15267,17666,144,0.4047519799916632
1,17 July 2025,90,20,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,103,654,67,16842,17666,144,0.125
1,17 July 2025,90,1,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,5807,1328,1490,9041,17666,144,0.6732753623188406
1,17 July 2025,90,5,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,2077,1116,1224,13249,17666,144,0.4702286619877745
1,17 July 2025,90,10,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,856,848,409,15553,17666,144,0.4051112162801704
1,17 July 2025,90,20,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,79,678,38,16871,17666,144,0.0993710691823899
1,17 July 2025,90,1,direct_r2p,Direct R2P,0,0,,,6383,752,2357,8174,17666,144,0.6724610198061526
1,17 July 2025,90,5,direct_r2p,Direct R2P,0,0,,,2278,915,1255,13218,17666,144,0.5121402877697842
1,17 July 2025,90,10,direct_r2p,Direct R2P,0,0,,,1084,620,637,15325,17666,144,0.4630499786416061
1,17 July 2025,90,20,direct_r2p,Direct R2P,0,0,,,323,434,232,16677,17666,144,0.326592517694641
1,17 July 2025,90,1,direct_r2p,Direct R2P,1,1,,,6048,1087,2137,8394,17666,144,0.6522864538395168
1,17 July 2025,90,5,direct_r2p,Direct R2P,1,1,,,2184,1009,1191,13282,17666,144,0.4981751824817518
1,17 July 2025,90,10,direct_r2p,Direct R2P,1,1,,,997,707,485,15477,17666,144,0.455459113750571
1,17 July 2025,90,20,direct_r2p,Direct R2P,1,1,,,241,516,119,16790,17666,144,0.2751141552511416
1,17 July 2025,90,1,direct_r2p,Direct R2P,2,2,,,6284,851,2209,8322,17666,144,0.6725171232876712
1,17 July 2025,90,5,direct_r2p,Direct R2P,2,2,,,2174,1019,1087,13386,17666,144,0.5079439252336448
1,17 July 2025,90,10,direct_r2p,Direct R2P,2,2,,,1021,683,537,15425,17666,144,0.4556001784917448
1,17 July 2025,90,20,direct_r2p,Direct R2P,2,2,,,308,449,216,16693,17666,144,0.316546762589928
1,17 July 2025,120,1,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,5481,1654,2343,8188,17666,144,0.5782865583456426
1,17 July 2025,120,5,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,1538,1655,1308,13165,17666,144,0.341701844034659
1,17 July 2025,120,10,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,371,1333,401,15561,17666,144,0.1762470308788598
1,17 July 2025,120,20,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,1,756,8,16901,17666,144,0.0013071895424836
1,17 July 2025,120,1,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,5367,1768,2108,8423,17666,144,0.5806556312885427
1,17 July 2025,120,5,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,1492,1701,1319,13154,17666,144,0.3306737588652482
1,17 July 2025,120,10,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,430,1274,515,15447,17666,144,0.1937809824245155
1,17 July 2025,120,20,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,2,755,12,16897,17666,144,0.0026007802340702
1,17 July 2025,120,1,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,5350,1785,2051,8480,17666,144,0.5824080121924669
1,17 July 2025,120,5,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,1471,1722,1266,13207,17666,144,0.3298945952007177
1,17 July 2025,120,10,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,374,1330,436,15526,17666,144,0.1747663551401869
1,17 July 2025,120,20,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,0,757,3,16906,17666,144,0
1,17 July 2025,120,1,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,5732,1403,1894,8637,17666,144,0.6348432827555655
1,17 July 2025,120,5,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,1956,1237,1524,12949,17666,144,0.4146703413186347
1,17 July 2025,120,10,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,794,910,623,15339,17666,144,0.3412118607649334
1,17 July 2025,120,20,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,39,718,36,16873,17666,144,0.0491803278688524
1,17 July 2025,120,1,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,5687,1448,1845,8686,17666,144,0.6332962138084632
1,17 July 2025,120,5,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,1967,1226,1525,12948,17666,144,0.4169139465875371
1,17 July 2025,120,10,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,798,906,642,15320,17666,144,0.340153452685422
