model,lead_min,csi_m
exPreCast,60,0.4329665287130703
exPreCast,90,0.3537370646676684
exPreCast,120,0.2855130793272303
exPreCast,150,0.2368971202813828
exPreCast,180,0.1997379109357962
pySTEPS,60,0.418511092525147
pySTEPS,90,0.2773237898894397
pySTEPS,120,0.2032634993443005
pySTEPS,150,0.158817871532375
pySTEPS,180,0.1293558929083469
