route,route_label,replicate,aggregation,bootstrap_reps,bootstrap_unit,ci_definition,lead_min,metric,x_index,x_label,bin_low_mm,bin_high_mm,threshold_mm,estimate,ci_low,ci_high,n_common_pairs,n_observed_events
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,2,10–20,10,20,,-5.81030100862076,-6.044205362992119,-5.588033305250352,24611,
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,3,≥20,20,,,-15.12688254451066,-16.02942570047031,-14.3171123944877,9263,
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,0,1,,,1,0.888857694630901,0.858852543749936,0.9187688890932376,4408654,235086
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,1,5,,,5,0.6546747009439852,0.6195714879664855,0.6919536145112782,4408654,78497
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,2,10,,,10,0.4314813721438271,0.3913532039524716,0.47378739895428,4408654,33874
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,3,20,,,20,0.2651408830832343,0.223552307150405,0.3072530627877263,4408654,9263
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,0,1,,,1,0.888857694630901,0.8587707256738175,0.9186327095462572,4408597,235086
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,1,5,,,5,0.6546747009439852,0.6193511712232711,0.6916846125688956,4408597,78497
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,2,10,,,10,0.4314813721438271,0.3913796869295466,0.4736880447245034,4408597,33874
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,3,20,,,20,0.2651408830832343,0.2255126961087718,0.3065178028392522,4408597,9263
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,0,1,,,1,0.888857694630901,0.85904285824179,0.9185058951706996,4408548,235086
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,1,5,,,5,0.6546747009439852,0.6199853324785255,0.6913663406609273,4408548,78497
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,2,10,,,10,0.4314813721438271,0.3924123674471034,0.4733956345657303,4408548,33874
observed_hsr,Observed HSR + Fixed M–P (valid-time reference),not_applicable,single_run,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,3,20,,,20,0.2651408830832343,0.2246520601750172,0.306310594511151,4408548,9263
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,0,1–5,1,5,,-0.0252246835157697,-0.1287384008625764,0.0699744059784827,156589,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,1,5–10,5,10,,-1.66415014739926,-1.901697255774979,-1.458718843664362,44623,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,2,10–20,10,20,,-5.411414450487516,-5.811986345556094,-5.074831727046598,24611,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,3,≥20,20,,,-18.27654583042569,-19.30171634482092,-17.20383360471338,9263,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,0,1–5,1,5,,-0.4579061233690318,-0.5762279150518959,-0.3514724113106276,156589,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,1,5–10,5,10,,-3.826551394815969,-4.087639211441287,-3.611259878990595,44623,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,2,10–20,10,20,,-9.749333085848848,-10.133868796234,-9.419822281866235,24611,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,3,≥20,20,,,-26.64227631757077,-27.61402823012664,-25.51711817874597,9263,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,0,1–5,1,5,,-0.8739501938274307,-0.9835666848819716,-0.7760760258704322,156589,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,1,5–10,5,10,,-4.916369956045984,-5.126897655799013,-4.737977597255071,44623,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,2,10–20,10,20,,-11.3534691647742,-11.65111398114594,-11.08704400156449,24611,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,3,≥20,20,,,-28.94069782462167,-29.89301348307005,-27.77592433658031,9263,
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,0,1,,,1,0.8463952199053396,0.8174689967321985,0.8716734942192722,4408654,235086
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,1,5,,,5,0.7948584022319324,0.7525398028240213,0.8339791734676276,4408654,78497
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,2,10,,,10,0.6012772824782036,0.5611253436003238,0.6388681193591111,4408654,33874
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,3,20,,,20,0.2250530785562632,0.186972253049342,0.2635018319930928,4408654,9263
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,0,1,,,1,0.7494562273664389,0.7104642951582226,0.7830831640282423,4408597,235086
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,1,5,,,5,0.4873477118021496,0.4410498665478725,0.531790448335516,4408597,78497
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,2,10,,,10,0.1419672905473224,0.1141897241823201,0.169449938507179,4408597,33874
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,3,20,,,20,0.0062254849040987,0.0037357890811992,0.0087828159439332,4408597,9263
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,0,1,,,1,0.6604462480397245,0.6167784379421363,0.6990930285358399,4408548,235086
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,1,5,,,5,0.263725577622924,0.222742943305003,0.3050097746862605,4408548,78497
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,2,10,,,10,0.0377378914014681,0.0269983626169072,0.0482578226045175,4408548,33874
pysteps_mlp,pySTEPS + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,3,20,,,20,0.000899636546835,0.0004897510842635,0.001396823066603,4408548,9263
