contrast,seed,lead_min,threshold_mm,allstation_csi,direct_r2p_csi,delta_csi,allstation_hit,allstation_miss,allstation_false_alarm,direct_r2p_hit,direct_r2p_miss,direct_r2p_false_alarm,n_finite_common
allstation_minus_direct_r2p,0,150,5,0.3119424679137019,0.3203873313290918,-0.0084448634153899,32836,45661,26766,36660,41837,35927,4408572
allstation_minus_direct_r2p,1,150,5,0.3305093692267088,0.3201629641017757,0.0103464051249331,37569,40928,35173,37485,41012,38584,4408572
allstation_minus_direct_r2p,2,150,5,0.3160585509133859,0.3017033891217277,0.0143551617916581,45624,32873,65856,32466,46031,29112,4408572
allstation_minus_direct_r2p,0,150,10,0.1623970287129184,0.1917757897921258,-0.0293787610792073,6821,27053,8128,8875,24999,12404,4408572
allstation_minus_direct_r2p,1,150,10,0.1981162298968411,0.1766732390093818,0.0214429908874593,9276,24598,12947,8154,25720,12279,4408572
allstation_minus_direct_r2p,2,150,10,0.2199828030954428,0.1563564392893307,0.063626363806112,12792,21082,24276,6794,27080,9578,4408572
allstation_minus_direct_r2p,0,150,20,0.0432754342431761,0.0423275367857825,0.0009478974573936,436,8827,812,443,8820,1203,4408572
allstation_minus_direct_r2p,1,150,20,0.0592954629288085,0.0202495397831867,0.0390459231456218,643,8620,1581,198,9065,515,4408572
allstation_minus_direct_r2p,2,150,20,0.0658027754801948,0.0329864519929314,0.0328163234872633,716,8547,1618,336,8927,923,4408572
allstation_minus_direct_r2p,0,180,1,0.4300452659869325,0.4196215531830018,0.0104237128039306,163692,71394,145553,169358,65728,168511,4408548
allstation_minus_direct_r2p,1,180,1,0.4274682433130228,0.4184485278213021,0.0090197154917206,165567,69519,152234,158633,76453,144012,4408548
allstation_minus_direct_r2p,2,180,1,0.4106890107902827,0.4172847510712446,-0.0065957402809619,170323,64763,179639,159611,75475,147413,4408548
allstation_minus_direct_r2p,0,180,5,0.2630226995635057,0.2768024675491582,-0.0137797679856525,28261,50236,28950,32307,46190,38218,4408548
allstation_minus_direct_r2p,1,180,5,0.2842095306884039,0.274917622470736,0.0092919082176679,33053,45444,37801,32622,45875,40164,4408548
allstation_minus_direct_r2p,2,180,5,0.2821284449157795,0.2519794762001439,0.0301489687156355,40969,37528,66717,27305,51192,29865,4408548
allstation_minus_direct_r2p,0,180,10,0.1157938304969201,0.1422542641111306,-0.0264604336142105,4756,29118,7199,6472,27402,11622,4408548
allstation_minus_direct_r2p,1,180,10,0.1431091942756322,0.1282992017432681,0.014809992532364,6570,27304,12035,5770,28104,11099,4408548
allstation_minus_direct_r2p,2,180,10,0.1794510785489562,0.1094956406053263,0.0699554379436299,10324,23550,23657,4609,29265,8219,4408548
allstation_minus_direct_r2p,0,180,20,0.0198811231809797,0.0206,-0.0007188768190202,194,9069,495,206,9057,737,4408548
allstation_minus_direct_r2p,1,180,20,0.0263810373896657,0.0084666039510818,0.0179144334385839,266,8997,820,81,9182,304,4408548
allstation_minus_direct_r2p,2,180,20,0.0435157672769098,0.0099081432552378,0.0336076240216719,454,8809,1170,96,9167,426,4408548
