threshold_mm,hits,misses,false_alarms,csi,frequency_bias,n_finite
1,3385358,1373636,680715,0.6223417465897533,0.8543975890702951,76988999
5,721430,759554,142356,0.4444109059100373,0.583251405822075,76988999
10,186458,415355,39888,0.2905683488104273,0.3761068637600052,76988999
20,26819,131326,7490,0.1619162616596733,0.2169464731733535,76988999
